Codigo Municipio,Empresario que emplea personal,Empresario que no emplea personal
44001,*,20
40001,25,60
10001,10,*
27001,90,330
48001,190,330
31001,*,10
09001,*,*
26001,40,25
20001,20,15
19001,*,*
30001,140,250
50001,*,15
48002,245,350
30002,385,345
34001,*,10
31002,25,55
31003,*,30
31004,*,*
15001,145,430
42001,20,20
44002,*,10
25001,15,40
02001,30,115
13001,80,105
31005,*,15
10002,*,20
49002,*,*
16001,*,*
34003,15,30
22001,10,50
22002,*,*
04001,35,55
19002,*,10
31006,95,80
08001,320,425
04002,25,45
37001,*,20
28001,*,10
24001,30,20
10003,45,30
16002,10,15
06001,40,40
10004,25,25
10005,*,20
50002,25,20
06002,260,260
22003,10,*
47001,*,10
14001,110,165
05001,*,15
38001,1935,1775
46001,35,55
31007,*,5
19003,*,*
46002,*,50
04003,1145,1515
09003,*,15
40002,*,5
05002,65,165
42003,*,10
40003,10,20
03001,*,45
20002,25,25
35001,90,115
37002,*,*
25002,55,50
36020,125,420
50003,*,15
26002,*,45
03002,85,405
25003,200,350
42004,105,220
03003,*,55
18001,*,*
41001,80,75
50004,20,50
09006,*,*
47002,*,*
44003,*,*
44004,*,55
13002,85,200
22004,*,15
40004,15,45
09007,*,*
34004,150,360
47003,15,15
31008,*,15
14002,375,360
08002,*,*
44005,*,15
26003,*,70
30003,1220,1350
50005,*,*
35002,685,585
17001,30,50
46004,75,65
38002,*,*
10006,55,75
37003,*,10
37004,*,0
06003,25,40
20016,80,150
31009,25,55
46042,235,210
46043,15,*
08014,60,115
43001,40,60
17002,50,30
03004,20,140
12002,*,*
22907,105,125
50006,50,75
22006,*,45
25038,125,75
20003,*,20
28002,100,210
26004,*,*
48911,20,35
45001,50,145
44006,15,40
50007,*,*
47004,60,135
50008,195,170
10903,15,60
07002,350,365
21001,*,35
38003,*,*
29001,165,180
37005,*,*
45002,100,170
28003,10,30
18002,*,25
37006,*,15
13003,*,15
19004,*,*
28004,380,470
25004,50,50
06004,50,65
41002,95,55
46005,845,975
34005,*,95
37007,25,65
50009,10,30
16003,*,15
19005,*,10
07001,225,370
25005,*,20
02002,15,55
44007,15,20
34006,*,10
37008,245,330
37009,*,*
02003,5255,6020
25006,30,50
46006,200,245
41003,60,95
46007,340,745
10007,20,40
13004,*,60
16004,*,40
46008,55,120
46009,145,155
46010,50,55
22007,70,80
16005,15,25
19006,40,35
44008,50,105
22008,*,30
04004,35,30
23001,*,45
17003,10,20
19007,*,30
44009,50,75
45003,15,25
02004,25,45
25007,80,105
03005,260,615
22009,40,110
26005,160,180
16006,*,25
19008,*,*
44010,20,15
16007,85,150
37010,65,60
37011,10,20
46011,305,495
26006,80,170
50010,*,15
22011,*,15
22012,*,15
22013,20,45
25008,60,145
50011,*,10
25009,35,55
09009,*,10
43002,45,55
43003,10,35
20004,15,10
12003,45,165
04005,*,25
18003,535,610
18004,*,65
17004,45,70
46012,60,45
46013,1195,1015
02005,15,70
50012,*,10
05005,*,20
04006,390,525
30004,30,55
06005,50,60
46014,105,160
18005,*,20
18006,260,185
18007,*,25
06006,270,225
45004,20,35
02006,20,45
44011,*,15
50013,*,25
41004,1935,2375
22014,*,20
28005,3575,4965
44012,45,35
16008,*,10
11001,85,190
50014,*,15
12004,385,335
02007,90,75
22015,*,50
41005,405,365
11002,170,110
23002,750,990
03006,*,50
22016,20,75
26007,25,60
43004,255,450
25010,*,20
10008,60,60
30005,1060,1195
46016,40,70
16009,*,*
49003,30,100
44013,745,860
45005,20,25
14003,70,40
02008,50,110
25011,430,335
46015,230,320
29002,60,130
23003,305,325
45006,35,60
13005,810,1065
16010,*,40
47005,15,50
30902,255,735
13006,*,60
28006,3150,3545
19009,*,30
03007,10,10
09010,*,*
16011,*,*
04007,30,30
13007,30,65
22017,35,75
19010,*,*
45007,35,65
19011,15,20
41006,55,120
03008,*,10
25012,85,135
10009,*,10
42006,5,25
37012,10,15
40005,*,10
06007,55,115
50015,*,15
16012,*,15
06008,15,15
04008,20,40
12005,375,370
28007,3010,5660
44014,105,175
19013,10,20
43005,130,135
03009,1955,2100
22018,30,50
42007,*,10
42008,*,*
49004,*,10
13008,10,45
46018,30,90
07003,365,515
46020,140,210
04009,*,*
12006,*,*
46019,380,560
10010,45,70
46021,1045,1305
47006,*,10
35020,100,320
10012,*,40
28008,90,95
37015,*,25
10013,*,20
13009,60,100
45008,*,20
40012,10,40
43904,220,175
10011,*,35
37013,*,15
37014,35,65
42009,15,15
40006,*,*
37016,25,30
40007,*,10
40008,*,*
42010,*,*
42011,*,*
42012,*,*
47007,85,245
45009,15,45
26008,105,255
37017,*,35
19015,*,*
40009,*,*
37018,*,*
10014,210,85
45010,*,55
05007,5,15
10015,25,45
40010,5,15
23004,*,20
37019,*,15
37020,25,35
05008,*,20
37021,*,10
37022,10,30
40013,*,5
37023,100,80
37024,*,*
40014,*,*
10016,20,15
37025,10,10
50016,*,*
42013,*,*
37026,*,15
40015,*,*
05010,10,20
42014,*,20
18010,*,20
40016,*,15
43006,*,45
30006,*,40
20005,75,85
01001,120,120
43007,35,50
08003,725,715
42015,*,*
22019,10,10
26009,35,45
26010,*,*
18011,130,250
46022,480,825
03010,25,40
50017,95,90
44016,20,50
50018,45,55
22020,*,10
43008,20,30
46024,*,*
46025,90,125
49005,*,25
29003,*,40
29004,10,25
26011,435,355
46026,55,110
25013,75,170
46027,15,50
03011,1100,950
46023,*,40
25014,20,25
12007,30,40
43009,40,155
50019,*,5
27002,45,125
09011,*,15
39001,85,120
09907,55,110
09012,*,20
41007,275,565
24002,10,25
07004,245,350
41008,70,70
11003,50,30
19016,*,10
46028,*,20
18012,50,150
16013,*,*
29005,225,280
29006,15,25
11004,2505,3005
46029,760,1190
25015,20,55
28009,655,995
46030,20,50
12008,10,30
46031,560,535
11005,145,155
49006,*,20
19017,*,*
03012,*,*
25016,105,120
30007,160,330
03013,45,70
04010,25,*
04011,105,255
50020,35,40
18013,180,315
30008,650,690
13010,25,50
29007,1245,1530
29008,735,1280
18014,180,285
19018,*,15
10017,*,90
44017,20,25
16014,*,90
03014,8775,13130
04012,*,*
18015,*,30
24003,*,90
25017,25,*
43010,35,50
19019,*,*
10018,70,60
42016,*,*
21002,565,755
06009,10,15
20006,15,15
33001,20,300
32001,220,220
44021,*,20
33002,150,340
31011,30,35
31012,30,55
44022,*,35
44023,*,*
25019,310,375
29009,30,55
13011,170,190
41009,40,35
13012,*,25
19020,*,15
13013,310,495
42017,*,20
42018,*,25
02009,960,1020
24004,*,40
10019,40,35
49007,*,25
16015,15,40
29010,55,95
42019,30,30
26012,*,*
46032,105,305
25020,15,40
42020,305,265
12009,570,880
42021,*,20
12010,*,15
13014,20,55
14004,90,75
18016,*,*
49008,*,75
25021,155,175
42022,20,45
12011,165,195
47008,*,*
37027,15,35
37028,*,15
06010,50,55
45011,*,20
06011,1335,1395
21003,20,45
16016,*,20
41010,90,185
04013,5850,7235
46033,*,10
50021,*,10
04014,*,15
13015,160,190
16017,15,15
14005,100,365
29011,*,150
19021,60,50
44018,*,*
10020,50,55
46034,40,110
50022,15,80
50023,*,20
50024,25,30
45012,*,40
19022,25,20
16018,*,40
21004,40,95
21005,550,565
03015,820,1110
45013,120,140
43011,70,60
03016,*,10
22021,50,235
50025,230,295
22022,20,35
22023,15,45
18017,830,1940
13016,30,35
46035,320,260
44019,*,*
19023,5,20
48912,100,110
29012,145,390
25022,10,10
21006,70,135
19024,350,365
29013,25,100
17006,60,170
29014,*,15
42023,*,20
50026,15,55
28010,475,650
08004,20,10
44020,*,*
02010,100,75
25023,395,350
46036,*,100
18904,*,115
03017,15,45
46037,60,65
12901,105,250
22024,25,20
18018,*,*
04015,*,*
25024,30,55
09013,*,*
43012,290,260
16019,*,30
03018,690,1660
22025,100,140
09014,10,30
31010,275,270
12012,120,240
20906,5,10
20007,*,15
19027,25,15
46017,1350,1470
05012,5,20
34009,*,*
50027,*,10
28011,*,45
17007,45,115
15002,855,1315
31013,35,65
43013,200,325
08005,485,790
09016,*,15
20008,40,80
33003,*,80
32002,150,120
48003,460,815
48004,10,15
43906,270,90
43014,725,885
34010,20,50
39002,215,250
01002,245,320
34011,*,35
47009,5,20
44024,*,*
40017,*,10
37029,*,20
28012,25,50
13017,*,55
31014,10,15
49009,*,45
46038,*,*
20009,360,620
44025,210,400
31015,140,150
07005,440,555
23005,1210,1460
50028,*,*
17008,235,185
25027,60,100
19031,*,*
26013,25,30
22027,10,20
26014,20,25
19032,15,20
09017,*,10
39003,*,20
50029,45,70
46039,40,120
20010,45,80
19033,*,*
19034,*,*
22028,35,60
31016,295,340
04016,160,220
27003,95,200
46040,40,40
29015,1020,1485
35003,340,570
24005,*,30
34012,*,50
22029,*,20
20011,55,125
31017,30,30
01049,5,10
40018,*,*
50030,*,20
14006,105,100
31018,15,25
45014,185,65
37030,*,10
31019,60,100
37031,20,40
21007,385,485
38004,140,100
22032,*,*
41011,435,650
40019,*,*
31020,15,55
48005,5,*
31025,45,*
20012,*,10
01003,25,70
31021,*,15
42024,*,*
09018,1350,1310
50031,15,30
50032,*,15
09019,*,15
16020,*,*
15003,*,195
31023,435,335
28013,1240,1490
31024,*,20
31022,*,25
48006,*,10
19036,25,35
12013,*,10
37032,*,40
31026,*,*
46041,25,30
09020,10,15
09021,*,*
09022,*,*
19037,10,20
25029,135,125
19038,*,*
31027,60,55
36001,*,85
43016,480,100
04017,*,145
43015,*,10
17009,180,390
16905,80,50
31028,*,15
37033,*,*
49010,20,15
30009,480,755
29016,20,25
29017,380,295
45015,25,30
37034,*,*
34015,*,*
40020,15,35
09023,35,60
42025,75,125
11006,705,835
49011,10,35
16022,*,5
44026,5,20
31029,20,60
29018,75,80
50033,*,*
24006,*,30
48093,30,35
31030,*,25
22035,25,20
05013,*,85
13903,35,20
29019,*,*
39004,35,90
13018,30,20
05014,340,355
18020,40,60
42026,*,*
09024,*,25
44027,10,30
08006,380,640
08007,170,595
26015,15,15
26016,*,*
15004,170,225
12014,10,45
31031,*,*
20013,150,235
05015,*,5
40021,*,*
05016,165,550
42027,10,20
13019,250,410
13020,140,200
28014,1650,1890
24007,*,40
49012,*,10
22036,*,*
19039,*,15
17010,20,20
12015,*,*
08008,*,45
44028,*,25
43017,*,*
08009,490,590
45016,180,300
39005,70,120
31032,50,170
22037,15,10
16024,*,10
49013,*,35
31033,*,*
07901,75,70
31034,5,5
38005,120,285
09025,*,15
44029,15,*
50034,25,140
23006,160,125
23007,70,170
09026,*,50
19040,*,*
31035,*,*
17011,40,45
37035,25,30
18021,440,1080
01006,10,15
40022,*,40
04018,15,20
19041,*,20
26017,15,20
26018,635,495
43018,35,40
32003,25,50
39006,90,90
21008,*,90
38006,2085,2890
49014,*,10
23008,70,120
49015,*,25
01037,20,35
16025,*,*
48009,35,55
20055,605,615
48914,10,35
01008,80,50
09027,*,15
35004,1645,1440
39007,*,80
25031,*,*
29020,60,230
48010,*,20
48011,335,505
13021,*,25
31036,40,70
47010,680,735
10021,160,230
19042,*,*
06012,130,150
23905,50,95
10023,15,45
28015,995,960
10022,15,35
21009,*,40
31037,*,5
26019,*,10
25032,*,*
07006,330,405
31038,25,110
12016,40,130
31039,*,*
48023,30,40
15005,1010,1575
35005,35,45
08010,170,245
25033,80,85
25034,125,365
50035,5,*
48008,*,40
01004,85,90
35006,735,1215
15006,275,460
43019,50,60
50036,*,*
25036,*,25
49016,10,30
01009,20,95
03019,510,790
20014,60,55
20903,215,240
39008,450,580
24008,405,980
34017,35,85
49017,10,*
29021,*,10
06013,10,10
16026,*,10
37037,*,10
19043,*,25
09029,10,10
47011,45,70
18022,450,610
20015,55,130
28016,*,*
50037,*,10
50038,60,40
31040,10,25
19044,15,40
48091,30,75
46003,50,70
12001,50,85
48070,40,20
19045,5,15
31058,15,25
26020,60,70
42028,*,10
09030,*,15
34018,10,20
34019,20,20
26021,130,135
05017,*,10
05018,*,*
25037,25,55
09032,*,20
08011,65,155
05019,1510,2185
33004,1850,2860
08012,60,110
17012,105,75
08013,75,85
32004,125,130
01010,125,145
21010,670,965
31041,65,90
22039,60,55
40024,80,150
02011,*,35
12017,10,10
49018,20,*
46044,200,335
34020,*,*
31042,160,200
44031,*,*
22040,10,15
22041,*,15
20017,265,405
22042,*,15
41012,110,140
41013,85,120
26022,10,15
20018,495,450
06014,340,500
50039,20,55
12018,*,30
31043,*,*
19046,670,940
45017,10,15
37038,30,75
04019,*,*
06015,3525,4765
08015,4505,8220
26023,35,60
44032,*,*
08904,240,385
41014,60,65
50040,*,*
22043,*,25
14007,590,705
23009,685,535
08016,75,90
44033,*,25
50041,*,*
47012,*,*
09033,*,*
19047,*,*
23010,730,740
22044,*,50
36003,450,425
25039,30,35
31044,10,10
48012,80,210
25040,615,710
02012,160,145
09034,20,35
24009,10,30
50042,*,*
22045,*,15
27004,40,190
08017,150,200
20904,*,10
02014,20,35
13022,*,*
22046,40,65
48090,165,315
03020,*,*
02013,*,10
08018,110,140
34022,65,140
32005,20,100
22047,20,20
32006,45,140
07007,60,*
03021,330,265
43020,60,170
17015,835,750
15007,120,170
26024,10,30
24010,365,640
37039,*,30
44034,10,25
01011,35,35
23011,*,85
32007,55,75
10024,40,35
26026,75,90
26025,*,10
19048,*,*
09035,*,20
19049,*,*
09036,*,*
34024,*,*
16027,*,40
48013,2180,3805
27901,120,345
31901,675,655
42029,5,35
31045,25,30
32008,435,505
37040,*,15
09037,*,15
09038,*,*
09039,*,*
37041,*,10
31046,*,*
22048,535,535
11007,510,680
25041,40,35
43021,*,25
08252,970,1360
50043,25,20
40025,10,15
22049,*,10
22050,*,*
42030,*,15
22051,10,15
06016,60,240
08019,48855,73280
34025,*,*
39009,110,295
39010,40,50
37042,*,10
16029,*,*
47013,*,20
49019,*,30
45018,30,30
05021,110,160
32009,405,430
42031,*,10
50044,10,15
39011,75,215
45019,160,400
31047,10,15
31048,*,5
24011,*,10
38007,70,55
25042,*,45
12020,*,15
44035,*,20
05022,65,190
10025,20,35
02015,65,165
27005,145,225
48014,70,65
09041,*,*
19050,*,*
09043,*,15
09044,*,10
24012,15,15
11008,360,505
36002,155,175
05023,*,15
37044,30,25
34027,30,40
47014,*,10
01013,95,70
46046,70,25
46045,45,45
31049,55,60
40026,5,15
48015,820,1190
17016,45,70
09045,20,60
34028,10,25
09046,*,*
16030,*,*
25044,*,75
37045,*,*
43022,90,315
06017,10,25
28017,75,115
25045,*,*
04020,35,*
04021,*,20
42032,*,15
42033,*,*
18023,680,1185
31050,170,585
44036,*,*
32010,*,35
16031,*,10
32011,75,60
21011,65,175
18024,20,30
18025,*,15
23012,145,350
20019,580,395
05024,*,25
05025,*,15
44037,20,50
27006,80,255
34029,*,90
28018,165,335
47015,*,15
04022,35,30
48092,30,30
23902,40,115
23014,115,50
27007,160,165
08020,395,420
17013,360,270
31137,*,15
31051,15,20
04023,*,*
20020,10,20
37046,485,575
12022,20,45
14008,150,190
31052,*,*
20021,15,15
09047,*,*
50045,45,105
37047,*,*
46047,30,40
25046,15,60
16032,*,20
25170,15,50
17018,50,35
25047,50,110
25048,120,160
43023,*,20
25049,*,15
44039,*,30
08021,*,*
25050,155,295
46048,235,195
46049,*,15
43024,55,100
25051,200,125
25052,125,190
14009,50,85
23015,30,65
16033,90,140
34031,*,*
50046,*,15
33005,60,180
44038,*,10
28019,25,65
16034,*,20
09048,100,125
22052,70,95
49020,*,55
45020,25,65
10026,25,60
24014,285,285
22053,50,105
41015,125,160
29022,*,*
47016,*,*
12024,5,10
12025,*,10
46050,15,*
46051,420,425
04024,100,220
29023,305,425
29024,20,20
29025,1935,2515
18027,90,85
18028,35,80
11901,130,380
29026,70,45
18029,55,130
14010,145,185
29027,55,130
11009,25,70
29028,25,105
29029,*,20
12026,85,95
03022,*,10
22054,165,80
23016,25,20
25053,60,85
49021,755,940
24015,115,160
46052,20,15
49022,15,30
03023,105,105
46053,20,50
03024,215,300
46054,330,625
03025,65,60
03026,65,135
03027,15,20
46055,85,140
03028,25,50
46056,*,*
12027,1035,1020
12028,930,930
46057,20,25
46904,20,15
03030,*,100
03031,2955,2210
30010,385,425
46060,505,490
46059,45,25
46058,45,75
43025,20,50
03032,*,*
03033,*,20
46061,10,15
46062,210,210
03029,*,45
03034,85,130
03035,*,45
03036,*,*
03037,15,45
03038,25,15
03039,*,*
03040,*,10
46063,50,85
46064,25,45
46065,65,70
46066,30,105
46067,60,105
03041,695,885
43026,65,80
46068,15,20
46069,5,10
03042,80,290
04026,*,*
04027,20,*
12029,55,70
10027,*,5
06018,20,45
04028,15,5
24016,*,*
31250,165,310
48016,120,285
01014,25,30
22246,10,15
20022,45,40
42034,*,*
22055,10,40
09050,*,10
31053,25,30
26027,10,10
47017,15,20
47018,*,5
18030,25,35
40028,*,10
05026,*,10
24017,35,90
24018,5,25
40029,*,*
50047,*,*
08022,305,725
20074,340,385
26028,10,15
26029,*,*
44040,*,30
15008,330,310
31905,*,50
04029,640,665
05027,15,20
06019,75,75
42035,45,80
24019,*,*
09051,*,20
37049,*,10
48017,425,535
49023,40,125
40030,*,60
01016,*,70
19051,*,*
40031,20,40
05029,*,15
48018,45,60
31902,240,300
31903,65,370
48019,90,245
20023,15,10
21012,*,*
37050,*,15
37051,*,*
10028,*,*
05030,*,*
47019,*,*
50048,*,*
28021,*,60
31054,20,50
10029,*,*
09052,*,*
28020,*,*
34032,*,*
17019,130,160
17020,150,220
35007,*,*
15009,325,495
31055,10,30
46070,1045,875
16035,10,15
12021,115,235
17021,*,35
26030,*,*
44041,*,*
03043,210,225
46071,25,35
31253,5,10
20024,50,40
50901,*,20
22057,20,40
02016,30,25
06020,70,100
22058,25,15
22059,55,90
03044,350,185
08023,520,600
50050,10,10
48020,9985,14430
33006,*,135
22060,95,85
22061,545,640
07008,150,590
25055,*,15
50051,35,105
22062,*,*
43027,20,20
43028,175,140
17022,395,420
22063,15,30
50052,*,*
17234,15,25
31056,10,20
42036,*,10
30011,85,205
43029,15,20
44042,*,35
32012,*,65
17023,1075,1615
05033,5,25
05034,*,*
05035,*,5
14011,25,15
22064,*,30
44043,*,15
42037,*,*
37052,15,20
34033,*,*
17029,*,25
34035,5,30
34034,*,10
28022,2165,1715
33007,45,155
28023,195,370
26031,*,15
47020,15,25
32013,50,75
24020,25,60
46072,140,210
40032,45,45
47021,*,*
47022,*,*
19052,*,*
37054,*,25
06021,*,50
47023,240,185
37055,15,20
02017,*,*
05036,10,10
10030,*,45
05037,10,25
15010,65,245
15011,490,1270
32014,*,155
13023,515,850
47024,20,45
46073,30,110
41016,200,355
21013,360,475
32015,30,30
22066,45,90
03045,15,50
17024,30,40
22067,*,20
21014,175,205
43030,20,20
02018,70,65
16036,*,*
05038,*,15
02019,80,160
46074,115,125
24021,80,150
15012,180,245
50053,20,55
22068,*,*
50054,*,10
25057,*,*
17025,45,90
44044,10,20
29030,25,15
25058,340,335
43031,105,100
50055,140,220
42038,*,*
41017,505,580
11010,135,255
42039,*,40
45021,85,245
17026,40,45
08024,25,45
24022,*,*
12032,1070,1190
12031,220,370
11011,90,50
25059,*,105
43032,*,85
43033,70,55
10031,*,15
50056,15,45
37056,*,*
27008,50,155
49024,20,80
37057,*,25
25056,20,45
09054,*,*
05039,*,10
43034,40,25
47025,*,5
34036,20,10
28024,*,15
09055,*,*
13024,55,50
24023,20,15
50057,60,80
28025,*,15
17027,180,175
41018,280,480
38008,180,245
38009,190,180
49025,*,25
49026,*,20
40033,*,10
26032,*,*
19053,60,225
49027,*,10
49028,*,15
37058,*,5
26033,20,15
15013,150,305
26034,30,85
09056,215,445
44045,35,50
22069,60,25
10032,95,75
08025,120,145
08026,*,25
28026,290,500
17028,30,35
42041,*,*
50058,*,*
18032,20,25
16038,*,*
19054,10,15
16039,20,25
16040,*,30
37059,*,20
45022,20,30
37060,15,15
34037,20,40
38010,135,75
16041,30,40
44046,*,5
36004,385,380
46075,5,*
46076,20,60
09057,15,35
07009,45,55
42042,*,15
28027,25,55
14012,195,270
19055,*,*
50059,55,140
05040,*,10
50060,10,5
30012,485,565
09058,15,30
07010,210,280
46077,380,310
31057,40,160
44047,10,10
27902,295,305
50061,5,20
49029,*,65
50062,95,40
42043,110,295
24024,45,115
29031,55,70
05041,40,110
09059,4640,5735
31059,20,20
41019,145,180
45023,50,135
06022,75,100
46078,980,1565
31060,320,515
24025,15,25
45024,35,110
03046,*,165
18033,10,15
19057,*,5
28028,35,135
50063,*,*
47026,*,*
34038,15,45
49030,*,15
24026,20,135
34039,*,10
09060,*,15
31061,*,*
48021,30,85
43035,15,35
37061,10,15
40034,10,*
15014,185,340
25060,*,*
15015,100,130
17031,35,30
12033,115,140
17030,55,70
31062,25,80
28029,*,45
19058,335,315
08027,30,40
50064,10,15
45025,40,75
40035,*,15
49031,5,10
45026,15,30
10033,*,15
24027,70,40
09061,15,25
37063,*,5
06023,205,350
37065,*,50
06024,45,60
10034,10,30
37062,*,10
45027,*,30
13025,*,15
13026,40,*
05042,10,15
41020,490,315
05043,*,10
05044,*,30
21015,*,35
26035,*,*
39012,160,465
09062,*,*
39013,20,190
47027,155,165
47028,*,10
40036,30,50
10035,85,65
05045,*,30
25061,*,10
50065,*,10
14013,655,800
44048,*,*
43036,25,40
23017,60,50
33008,55,110
33009,*,65
31063,*,*
42044,*,10
42045,*,25
08028,55,55
08029,345,255
28030,70,130
37067,180,140
10036,*,15
47029,*,*
24028,*,75
24029,40,70
37068,10,30
08030,515,470
39014,40,110
24030,210,330
10037,3135,2565
10038,*,*
18034,*,20
10039,*,25
28031,170,120
17032,150,190
18035,*,105
11012,2125,3155
31064,45,70
50066,155,75
18036,250,185
21016,15,40
40037,*,*
44049,80,150
08031,100,100
43037,905,1130
26036,765,945
34041,10,15
18114,*,45
44050,130,265
06025,195,160
44051,225,170
21017,80,150
30013,340,415
42046,5,15
50067,510,800
50068,75,125
50069,*,*
36005,390,480
22072,*,20
08034,20,65
17033,295,325
08033,515,1045
08032,70,185
08035,725,880
06026,*,70
45028,135,200
09064,30,10
45029,*,10
18037,25,35
12034,65,100
08037,90,140
46079,*,50
03049,495,880
03048,425,685
08038,70,85
50070,*,10
44052,*,*
17034,345,520
08036,*,25
03047,715,805
42048,*,10
37069,45,60
37070,20,40
07011,3385,2940
32016,65,35
37071,*,10
13027,115,160
37072,*,20
34042,15,35
45030,15,20
37073,*,35
24031,*,30
10040,*,20
06027,30,30
49032,*,40
39015,35,130
44053,*,15
25062,50,60
45031,170,240
44054,10,15
45032,15,30
39016,1025,1205
44055,*,15
15016,245,445
43903,170,190
28032,270,185
49033,15,75
41021,370,650
