Codigo Municipio,Empresario que emplea personal,Empresario que no emplea personal
04082,*,15
22218,*,*
43044,205,300
03125,25,50
44212,*,*
25202,10,20
25035,15,35
08267,240,495
46227,25,55
37304,*,15
40195,70,85
40196,5,10
09365,*,*
37305,*,30
17190,65,85
28138,*,25
34175,*,10
04083,105,115
42171,*,10
25204,120,165
46228,90,155
17191,20,20
47159,60,65
05232,*,5
10175,40,80
37306,*,20
37307,*,25
05233,10,20
28140,140,235
10176,*,15
22220,*,25
45161,695,1115
31224,25,110
48084,395,950
50243,15,15
22221,*,10
17192,10,30
11034,115,155
19255,*,*
25203,530,635
08269,145,175
41091,16635,22795
28141,330,310
45162,*,50
25205,30,35
19256,*,*
33066,1940,2275
37309,*,*
10177,65,75
50244,*,30
29088,95,150
12105,45,120
04084,10,20
22222,35,50
46229,75,45
47160,*,30
37310,*,15
05234,*,5
19257,310,245
50245,*,*
23082,25,70
46230,420,650
36052,430,1035
38042,190,155
17193,105,245
47161,275,330
46231,*,160
46232,50,120
07060,275,195
44213,*,*
05235,*,25
06125,65,155
50246,*,20
16198,85,100
08270,1555,1390
17052,10,15
39083,40,320
27059,*,115
50247,45,20
37311,*,25
15080,45,185
24165,*,25
08271,*,5
33067,*,55
02072,30,140
13078,630,440
26143,15,15
05236,*,20
06126,95,120
05237,5,25
13080,*,*
13079,510,975
19258,*,*
09366,*,20
16199,*,*
25206,40,30
42172,*,*
43147,*,60
46233,70,190
07061,615,615
39084,20,150
05238,20,35
25207,335,340
33068,50,250
19259,*,*
04085,*,35
28143,10,*
15081,20,80
07062,530,410
48904,210,190
12106,50,75
45163,395,365
22223,10,25
48085,590,475
18176,*,*
48086,95,135
08272,*,30
20065,110,200
04086,70,140
09368,*,*
42173,1295,1310
25208,30,45
37312,15,30
23084,*,20
31225,*,*
25209,135,185
18177,*,15
26144,10,25
50248,45,65
25210,155,75
46234,*,*
12107,15,40
05239,10,20
26145,20,15
40198,*,5
05240,120,345
09369,20,35
45164,*,10
42174,*,20
19260,*,*
34177,*,20
24166,40,170
33069,130,130
28144,120,415
26146,20,*
24167,20,55
34176,*,25
19261,*,10
22904,50,95
16909,20,55
40199,10,*
37313,10,15
09372,10,25
09373,30,70
36053,220,265
39085,470,450
08273,155,255
25211,30,55
46235,1025,1310
42175,*,*
12108,20,30
04087,*,*
48076,15,15
46236,*,40
31226,30,25
25212,45,25
08274,175,280
09374,*,10
17194,*,15
34178,*,25
34179,*,*
40200,*,*
49214,25,30
37314,*,*
04088,150,135
04089,*,60
27060,155,230
32079,50,95
50249,20,35
38043,770,875
31227,395,660
08276,10,15
18901,25,35
04090,25,*
42176,*,*
42177,*,*
37315,*,10
08277,15,*
28145,110,115
50250,*,*
25215,5,10
06127,125,210
10178,20,40
25216,10,35
45165,2625,3200
06128,205,145
10179,*,25
10180,200,290
16202,30,80
12109,20,30
06129,20,40
17195,15,65
42178,*,10
19262,*,10
37316,70,90
34180,*,*
22225,135,315
47162,*,15
09375,*,10
06130,*,25
38044,35,60
33070,130,410
49216,*,25
08278,365,460
19263,*,*
33071,45,65
16203,585,550
19264,*,*
50251,275,330
37317,*,20
02073,255,340
03127,*,50
37318,*,35
09377,30,55
42181,10,25
22226,20,45
34181,*,20
11035,660,475
42182,*,5
43148,3170,4455
25217,695,715
25218,*,*
25219,*,20
19265,*,20
50252,200,425
46237,335,330
46238,715,640
08275,15,30
08280,10,25
38045,130,165
29089,130,125
16204,15,15
38046,345,310
35024,755,780
08281,295,300
32080,*,20
09378,*,*
16205,*,15
42183,10,25
37319,*,5
35025,135,130
10181,25,30
37320,*,*
35026,1855,3410
22227,*,10
45166,55,105
19266,10,30
37321,*,15
15082,680,775
12110,*,30
46239,*,30
25220,55,80
35027,185,620
04091,*,35
17196,*,35
37322,*,125
09380,*,10
08279,5745,8145
46240,*,5
50253,20,20
44215,15,25
13081,15,45
26147,*,*
44216,1130,1065
19267,*,*
03128,480,665
33072,*,110
08282,455,620
35028,740,600
03129,55,115
31228,15,45
47163,*,30
28146,75,70
05241,135,170
50254,15,30
22228,40,45
19268,*,*
38047,120,145
04092,165,175
16206,10,30
35029,215,295
33073,380,1520
09381,*,*
05242,25,35
31229,*,15
26148,10,30
12111,20,65
25221,10,15
46241,20,80
28147,40,70
25222,15,*
43149,20,70
43150,85,125
19269,*,10
09382,*,10
02074,175,465
50255,*,10
26149,*,*
45167,40,100
41092,245,290
12112,10,20
32081,125,135
12113,15,*
39086,*,50
05243,*,10
45168,1985,2445
03130,*,*
40201,*,*
20071,540,875
29090,*,50
22229,5,30
41093,785,700
13082,1310,1630
36054,435,520
08283,305,230
37323,5,20
15083,40,100
25223,45,100
24168,30,75
24206,30,145
12114,15,35
47164,20,50
19271,*,5
19270,*,*
08284,470,755
47165,325,495
19272,5,5
37324,*,35
15084,105,515
09384,10,35
08285,395,555
24169,35,90
19274,40,80
10182,15,*
44217,*,*
22230,35,35
42184,*,15
26150,*,20
05244,*,*
44218,*,*
03131,*,20
25224,10,20
25225,25,40
37325,*,10
05245,10,20
10183,35,60
10184,45,60
44219,*,20
49219,330,550
12115,*,40
34182,35,120
16209,*,20
22232,*,15
13083,85,120
50256,*,15
44220,20,15
45169,10,20
50257,*,*
12116,*,*
31230,*,*
50258,*,*
11036,*,20
44223,*,20
25227,40,60
08286,120,160
10187,*,20
47169,*,10
45171,55,100
43151,*,10
13084,30,50
44224,*,*
43152,30,55
06131,20,65
47170,*,*
10188,*,*
24170,110,*
19279,25,*
23086,360,420
44225,*,25
49220,*,15
12119,10,20
12120,*,15
26153,*,*
22233,*,15
44227,*,*
40206,15,10
05247,*,45
40202,*,15
46242,15,15
25226,5,30
42185,*,*
12117,170,290
23085,75,60
40203,35,50
14062,45,65
18178,15,45
12118,*,10
44221,10,85
47166,*,20
45170,*,*
47167,10,15
47168,*,*
10185,15,35
09386,10,*
40204,*,10
44222,*,30
26151,*,65
26152,*,*
10186,30,35
19277,*,*
19278,*,*
43153,480,655
23087,640,370
25228,260,290
25907,25,45
09387,*,10
49221,*,40
25230,120,220
50259,*,*
40205,*,30
28148,2345,3035
28149,440,380
28150,110,215
19280,220,220
10190,*,25
10189,80,85
16211,10,45
44226,*,10
28151,135,245
25231,65,60
50260,*,*
09388,*,*
39087,1330,1905
08287,35,85
46243,*,10
50261,*,30
08288,110,85
08289,170,335
47171,15,45
28152,895,1425
03132,*,50
06132,35,40
06133,50,45
10191,15,35
10192,*,40
19281,*,*
28153,20,20
44228,*,10
19282,10,35
19283,*,*
19284,*,*
29901,2550,3070
26154,*,*
34184,*,*
17197,*,10
46244,3070,2860
22234,95,85
13085,190,145
10193,60,105
30037,1235,1210
09389,*,10
23088,155,240
10194,40,40
23090,80,40
23091,25,35
44229,*,20
22235,*,15
22236,15,20
50262,35,105
30038,700,885
28154,215,335
25232,110,145
49222,15,60
31231,*,*
46245,30,30
09390,25,60
47172,*,20
25233,15,25
37327,*,10
44230,10,15
03133,3230,2605
45172,50,75
44231,*,*
50263,5,15
44232,*,50
45173,435,580
17198,45,60
17199,380,480
43154,*,10
29091,765,650
19285,*,*
42187,*,15
16212,10,15
16213,*,*
17200,25,40
19286,25,60
05246,*,10
09391,15,50
43155,1085,1455
19287,*,40
19288,*,*
18179,20,15
09392,*,*
17201,10,15
50264,*,10
17202,225,280
29092,*,30
30039,985,1205
45174,*,10
15085,135,390
46246,25,45
27061,65,140
24171,*,*
37328,*,20
49223,*,75
16215,*,50
19289,*,*
12121,75,145
44234,*,*
44235,*,15
22239,*,15
06134,*,15
32082,*,155
50265,*,5
50266,*,15
47173,70,50
15086,120,430
11037,75,200
49224,*,15
37329,*,*
25234,370,480
28903,555,1230
04901,*,*
40207,35,45
16216,*,35
09394,40,55
39088,*,*
42188,*,*
18180,65,*
26155,*,25
27062,30,120
16217,*,15
26157,15,10
21070,190,180
47174,*,25
19290,*,60
19291,*,40
34185,*,10
44236,*,20
24172,*,20
48087,15,30
06135,55,35
10195,335,360
09395,*,15
09396,10,20
39089,*,30
31232,1040,1645
47175,350,310
26158,25,30
46247,65,80
36055,480,640
35030,295,340
31233,*,*
24173,40,80
40208,45,60
46248,175,380
45175,20,65
18181,*,20
04093,120,200
04094,*,*
23092,970,1285
48088,*,15
11038,580,440
31234,*,15
19293,55,70
42189,5,5
16218,*,15
39090,15,25
48065,80,165
45176,250,355
18182,85,120
31123,20,10
19294,*,*
31235,*,25
30040,*,30
04095,30,70
17204,40,65
08290,115,55
17205,20,30
43156,195,340
43157,15,60
17203,10,30
31236,85,120
41094,285,185
05249,*,15
50267,35,45
31237,10,15
50268,*,*
47176,*,25
30041,395,455
31238,*,*
16219,*,15
49225,*,20
09398,*,25
45177,95,160
31239,20,45
31240,35,35
24174,15,70
48089,95,125
48074,40,185
01054,40,50
20072,185,325
47177,*,10
04096,*,*
31241,*,25
31242,*,45
44237,15,25
50269,20,20
20077,260,360
50270,*,*
31244,*,15
31243,10,35
47178,*,25
40210,*,20
26160,35,50
17206,15,15
31245,*,20
06136,40,70
50271,10,65
12122,35,90
20073,325,305
19296,*,10
50272,440,475
31246,10,15
46249,440,670
41095,825,1530
44238,105,100
31247,*,20
08291,240,335
42190,*,*
49226,15,40
05251,*,*
09400,10,50
17014,*,15
24185,20,45
50274,*,*
39095,95,245
15088,120,305
44239,*,*
27063,95,185
44240,15,15
47179,*,20
34186,*,15
49227,15,20
39091,70,115
28155,*,25
19297,10,*
10196,15,10
44241,30,60
09403,*,5
47180,15,10
19298,*,*
19299,*,*
42191,15,25
28156,*,85
19300,70,65
06137,*,60
10197,*,*
37330,15,45
05252,*,20
16906,*,20
19301,*,*
44243,*,*
49228,*,*
24175,85,195
10198,45,80
37331,*,35
24176,15,50
02075,105,155
42192,*,*
01055,65,85
19302,*,20
37332,*,*
50273,*,*
10199,*,*
06901,110,90
37333,*,20
10200,*,50
37334,*,5
42193,*,*
28157,15,25
21071,*,*
19303,*,15
44244,*,15
37335,*,*
44245,10,45
24177,40,50
26161,*,*
42194,*,15
28158,55,60
13086,*,*
28159,40,35
16224,*,15
37336,*,10
24178,*,*
10201,*,10
28160,425,610
16225,*,*
28161,1520,2080
16227,5,15
42195,*,*
47181,15,15
19304,20,10
10202,20,*
39092,*,75
16228,5,20
34189,*,*
28162,130,215
13087,760,1190
23093,150,250
19305,*,25
24179,*,35
28163,*,45
24180,75,155
42196,*,*
39093,*,30
40211,*,10
24181,95,185
34190,*,20
19306,*,*
39094,*,*
24182,*,35
44246,160,210
42197,*,*
37337,*,35
24183,*,75
33034,520,1130
24184,*,*
49229,10,10
19307,*,*
47182,50,65
06138,25,55
28164,135,240
16902,*,10
34192,*,20
40212,*,*
40213,*,*
45179,45,50
24187,55,70
09405,*,10
28165,125,135
09406,10,15
15087,325,265
37338,*,10
47183,*,10
46250,22060,31650
10203,240,240
24188,130,275
06139,20,35
06140,*,*
06141,50,80
41096,320,400
14063,90,35
13088,20,30
16903,155,135
37339,25,65
22242,*,20
19308,*,*
36056,170,210
26162,5,5
19309,*,*
16231,*,*
44247,15,50
12124,145,120
03134,15,5
12125,20,20
17208,105,65
25043,85,165
25901,*,45
03136,*,60
03137,20,45
03135,*,25
17207,210,185
12126,840,1210
46251,160,175
47186,7835,10710
46252,*,15
09408,*,*
12123,*,*
08292,40,60
25238,*,25
08293,*,*
43158,*,15
07063,125,240
29093,*,150
16173,10,25
22243,*,*
34196,*,15
22901,40,100
06146,55,75
09904,*,45
22244,*,*
09908,25,80
09409,*,20
06147,*,15
09410,180,405
09411,25,15
06148,35,30
09902,*,45
09905,*,*
40218,5,5
09412,45,75
48080,270,505
09413,25,95
09414,20,*
09415,*,35
39101,10,50
31260,85,110
09416,*,*
34902,5,15
18907,30,135
38049,455,240
18902,30,*
24191,*,20
44249,*,*
38050,*,170
09417,*,10
37343,10,*
40219,25,100
40220,*,15
40221,*,10
46253,*,10
09418,*,20
49230,*,*
35032,125,170
25240,85,180
17170,5,20
43159,*,*
08294,70,240
12127,*,15
08295,680,720
17209,50,40
43160,75,65
08296,95,195
43161,805,935
25906,15,25
25239,20,70
09419,*,15
50275,*,*
09407,*,*
45180,90,190
18183,10,20
47184,25,60
50276,*,15
37340,*,35
16234,*,*
40214,15,30
14064,*,20
35031,320,450
19310,*,*
42198,*,*
40215,*,10
31249,90,140
50277,*,*
38048,190,175
28166,15,35
06142,*,15
47185,*,*
16236,60,95
10204,25,40
24189,175,300
06143,110,160
06144,*,35
19311,*,*
06145,*,20
37341,*,*
21072,525,360
10205,130,130
40216,30,80
24190,10,20
16237,5,20
37342,10,15
43162,210,210
25909,*,20
16238,*,35
08297,*,*
24193,25,25
37344,15,5
15089,180,305
24196,70,120
24197,25,40
39096,40,150
39097,80,65
47187,*,*
35033,310,390
05253,*,*
49231,*,45
37345,15,*
24198,35,80
47188,*,20
49232,*,15
16239,5,10
24194,15,25
33074,260,325
49233,*,*
40222,10,35
24199,*,40
40223,*,25
24201,*,110
18911,320,500
10902,25,65
44250,*,*
37346,*,20
32083,40,95
11039,310,570
45181,40,125
42200,*,15
47189,*,*
05254,10,25
04097,*,*
18184,65,100
04098,80,140
29094,2500,3125
04099,205,465
47190,*,15
22245,25,30
50278,5,25
50279,*,*
42201,*,*
42202,*,*
28167,435,510
34199,50,60
37347,20,40
16240,10,15
47191,*,*
28168,70,45
22909,25,60
43163,1025,1365
49234,15,35
34023,215,145
46254,115,120
17210,75,70
45182,60,80
18185,*,35
45183,190,145
45184,*,5
26163,5,10
47192,*,15
37348,*,15
40224,*,*
26164,*,20
28169,115,90
04100,785,755
50280,20,30
25242,60,70
32084,*,25
03138,105,200
17211,85,70
32085,465,680
34201,15,20
43164,*,30
49235,40,60
22247,*,*
31251,125,120
47193,70,120
42204,*,15
19314,*,*
32086,110,235
10206,*,10
02076,*,25
04101,190,205
08298,1345,1850
04102,680,1140
27064,95,145
22248,10,5
38051,130,270
14065,70,115
09422,*,*
34093,*,15
09421,*,25
31252,*,15
49236,*,10
49237,*,15
37349,*,10
17212,15,10
17213,260,400
25243,515,230
50281,*,*
36057,8245,10865
26165,10,20
36059,305,630
43165,20,40
17214,55,60
17215,135,115
36058,75,480
08299,20,30
17217,15,45
17216,25,25
08301,1765,2255
08300,280,350
17218,60,110
17220,60,70
12128,85,55
17221,290,290
38052,35,70
07065,145,245
08305,1260,1175
36060,885,1670
25244,*,45
17223,55,35
27065,490,1180
43175,35,85
08306,20,70
25245,*,25
17224,45,40
43166,55,80
17225,10,20
17226,50,50
17227,*,10
32087,100,155
32088,55,120
46256,330,610
25247,*,*
17228,20,20
12132,20,45
36061,300,755
25248,55,105
25254,30,95
25249,*,20
25250,35,35
43168,*,15
08303,*,20
25251,30,65
08302,345,575
08902,195,235
43167,40,50
08307,1900,2360
43169,20,30
32089,*,140
12134,5,30
32090,30,80
32091,*,135
12135,1605,1575
32092,30,40
15091,*,75
43170,80,65
17230,40,35
25252,30,55
15090,45,130
43171,480,1165
08214,460,720
08219,865,1140
17222,10,*
12136,125,140
43172,15,25
23094,175,130
43173,*,20
43174,5,20
09423,*,*
45186,135,185
38053,115,260
02077,*,*
10207,*,*
28171,235,370
10208,*,*
14066,230,375
47195,15,30
47196,*,*
34202,*,*
21073,90,155
24202,205,380
20075,150,260
47197,30,100
24203,*,15
49238,*,15
01057,35,50
49239,15,65
45185,390,555
47198,*,*
39098,95,270
23095,300,315
40225,65,155
47199,*,10
34204,*,*
42205,*,*
47200,*,20
34205,*,15
28170,105,155
16242,10,40
34206,40,65
24205,50,85
24207,20,30
49240,*,10
09427,75,225
50283,*,10
34208,*,5
39099,140,135
49241,20,15
16243,15,25
09428,*,20
09429,*,5
09430,*,*
49242,25,70
50284,*,10
49243,*,10
05256,10,15
37351,*,20
47203,*,*
31254,90,85
14067,140,155
47204,20,20
50285,20,60
05257,*,10
06149,535,470
45187,125,330
24209,75,140
44251,10,35
12129,100,105
09431,10,*
47205,*,60
09432,*,45
47206,*,10
39100,15,90
09433,*,*
47207,5,45
06150,35,55
16244,40,65
24210,*,35
49244,*,*
47208,*,5
06151,50,50
37352,35,20
09434,65,85
34210,*,10
14068,20,30
13089,100,125
44252,*,10
12130,15,40
34211,10,25
09437,*,20
03139,1020,690
34213,*,5
47209,*,10
47210,20,50
49245,15,30
09438,50,10
34214,*,15
49246,*,40
47211,*,*
16245,*,45
47212,15,45
06152,65,65
37353,10,10
50286,*,10
26166,10,20
21074,50,85
16246,40,45
47213,*,15
28172,530,560
09439,75,80
09440,*,5
49247,*,15
34215,10,15
34216,*,15
09441,*,10
50287,15,30
02078,35,85
16247,*,*
09442,15,45
26167,*,15
34217,65,75
49248,15,30
47214,60,195
46255,185,155
49249,*,25
49250,70,150
16248,25,100
49251,*,30
45188,110,180
34218,35,50
11040,30,25
02079,115,435
12131,*,*
24211,15,45
24901,55,105
13090,30,35
41097,75,70
28173,*,35
28174,70,140
28175,65,85
24212,30,70
11041,395,400
34220,10,10
24213,*,10
37354,340,285
13091,*,15
49252,*,55
50903,75,150
09443,*,25
31255,*,10
16249,120,95
09444,*,15
09445,*,*
34221,*,30
26168,375,315
09446,*,*
24214,15,65
18908,40,30
34222,*,25
10209,*,10
10210,*,30
09447,*,*
45189,30,35
45190,*,25
24215,*,40
24216,25,90
49255,15,55
24217,*,35
34223,10,25
45191,*,30
34224,*,15
47215,*,*
34225,135,205
47216,*,20
49256,*,50
09448,10,30
22249,10,10
22250,55,20
47217,75,105
45192,130,130
19317,*,15
29095,200,95
09449,*,15
19318,*,*
05905,*,*
49257,*,25
45193,15,60
26169,*,10
49258,5,10
09450,*,*
46257,265,270
14069,325,405
47218,25,85
50288,305,210
05258,*,10
42206,*,*
16250,*,15
09451,*,*
50290,20,35
50289,*,*
28176,975,935
29902,60,170
47219,*,*
13092,100,120
16251,40,215
23096,125,75
06153,850,840
10211,*,20
19319,105,245
10212,120,200
21075,*,15
24218,30,50
49259,5,10
18187,15,40
47220,*,15
21076,65,85
13093,295,320
47221,*,10
33075,*,40
28178,45,90
13094,*,35
41100,30,65
47222,10,10
22251,15,55
29098,80,90
09454,*,10
12133,*,*
05259,*,*
41098,130,340
23097,230,305
05260,*,25
49260,25,75
37355,*,10
14070,85,55
06154,45,175
28177,595,875
34227,*,20
44256,*,*
14071,30,45
30042,65,90
41099,*,150
29096,105,135
29097,165,240
18188,50,65
34228,*,10
24219,*,25
24902,20,55
02080,20,25
34229,*,10
24221,35,90
24222,740,785
09455,*,20
09456,*,*
37356,*,10
26170,30,30
16253,*,30
37357,*,50
05261,*,*
16254,5,25
49263,*,*
37358,*,15
16255,*,15
37359,*,25
50291,*,15
16263,20,50
37360,*,20
10214,*,20
06156,25,50
37361,*,10
26171,*,25
42207,*,10
46258,155,210
49264,20,70
42208,*,*
44257,10,25
16258,*,*
16259,*,*
28179,80,115
10213,15,40
13095,*,*
06155,65,*
42209,*,30
44258,*,*
16910,*,*
49261,90,100
14072,20,55
09903,150,205
49262,*,35
47223,15,15
49265,*,20
49266,*,10
23098,20,30
49267,*,*
26172,*,*
16264,35,30
16265,*,*
45194,*,*
24223,90,205
28180,220,275
05262,15,30
16266,10,75
19321,*,*
37362,230,245
24224,*,70
42211,*,5
37363,*,10
16269,30,30
23099,225,175
46259,65,25
09458,20,40
37364,*,40
44260,10,25
37365,5,15
34230,*,*
47224,5,*
37366,*,20
44261,25,105
34231,15,40
34232,40,90
21077,50,45
50292,15,25
49268,10,60
02081,910,1010
23101,*,*
26173,*,*
50293,*,40
44262,5,25
50294,*,*
13096,475,380
45195,35,115
16270,*,15
16271,60,60
06157,*,30
13097,110,90
26174,*,15
16272,*,40
24225,65,95
09460,10,15
34233,*,20
42212,*,25
37367,*,25
10215,*,*
37368,*,*
42213,*,*
19322,*,*
45196,30,55
19323,*,*
37369,20,10
37370,10,40
49269,*,10
24226,*,35
45197,65,95
47225,*,20
34234,*,15
37371,5,20
44263,20,10
09463,10,10
45198,100,90
05263,*,20
23903,115,125
02082,*,5
09464,*,20
31257,45,40
34236,*,25
24227,95,125
34237,*,50
31258,180,260
02083,15,25
47226,*,20
26175,*,15
47227,*,5
49270,*,15
02084,15,*
37372,*,30
40228,15,45
47228,25,50
40229,*,*
26176,*,*
09466,*,*
41101,175,265
16273,10,40
09467,*,15
49272,*,10
49271,10,20
47229,10,30
33076,885,930
14073,80,135
28181,1660,1285
37373,45,60
28182,*,15
34238,*,50
09471,*,10
33077,35,175
24228,15,95
24229,*,85
09472,*,*
09473,*,30
40230,5,10
44264,10,15
19324,*,25
03140,1130,1310
34240,*,15
34241,*,*
34242,10,*
34243,*,20
16274,*,*
12137,*,10
37374,75,75
09476,10,*
37375,20,50
26177,25,35
34245,*,35
34246,*,10
08304,50,75
17233,165,125
17232,10,30
47194,15,40
09424,*,*
25253,*,15
50282,*,*
37350,10,35
09425,35,50
43176,30,60
15092,325,605
44265,*,20
25255,20,65
46260,135,130
12138,1015,1090
16275,*,*
43177,15,25
26178,*,20
26179,*,10
42215,40,75
43178,70,135
49273,*,10
05264,*,5
29099,35,50
19325,*,10
44266,*,30
45199,85,145
41102,645,680
13098,65,100
14074,105,120
50295,*,*
12139,30,25
05265,*,15
37376,105,280
01059,6400,7995
27066,645,470
44267,*,*
12140,70,150
08308,10,25
02085,10,30
09478,*,*
42216,*,*
18189,30,25
39102,40,210
42217,*,*
47230,*,15
03081,180,150
46145,1115,720
46143,170,205
46146,55,90
27021,70,235
43052,35,90
32032,555,645
46110,565,860
27025,115,190
32036,35,155
32037,10,30
35034,855,585
42218,20,*
40231,10,10
46261,55,105
45200,220,325
19326,*,45
19327,60,25
22252,15,15
30043,1500,1280
37377,15,35
01060,30,20
19329,*,*
19330,*,15
45201,180,130
42219,*,*
16276,*,*
45202,110,225
33078,*,20
31261,*,15
46262,*,35
22253,10,*
02086,55,150
45203,65,175
45204,25,35
45205,370,360
29100,110,140
19331,70,160
19332,*,20
31262,10,20
09480,*,10
18192,100,105
06158,720,710
16277,*,20
16278,*,*
18913,20,55
11042,60,55
06159,85,85
50296,*,*
22254,135,150
06160,125,120
21078,65,115
48095,110,50
20078,25,50
01061,*,15
48096,355,355
37378,*,10
37379,*,15
01062,*,15
49275,1640,2645
48905,155,150
19333,*,*
05266,*,20
05267,5,*
50297,17860,24435
37380,*,*
48097,40,70
47231,205,205
20079,1050,1320
46263,*,40
26180,20,20
10216,65,155
10217,*,25
37381,*,25
16279,*,20
10218,40,40
06162,135,155
47232,*,10
06161,*,45
28183,*,95
26181,*,*
09482,*,10
16280,*,15
19334,*,*
40233,*,30
40234,25,20
15093,255,535
09483,15,10
48024,35,100
48025,35,50
20025,*,40
20026,15,10
20027,220,140
48913,45,50
01018,95,110
31073,*,25
48915,*,20
31907,460,535
20028,100,145
44268,*,*
10219,40,90
37382,*,15
19335,*,*
12141,*,15
26183,*,10
24230,10,110
18193,725,910
31263,15,20
12142,10,30
50298,195,480
21079,20,35
31264,15,20
14075,*,*
01063,100,110
18194,100,*
20081,320,420
20080,195,320
09485,*,10
31265,*,*
04103,*,*
